goal,dimension,region_id,score
AO,future,0,100
AO,future,1,100
AO,future,2,100
AO,future,3,100
AO,future,4,100
AO,future,5,100
AO,future,6,100
AO,future,7,100
AO,future,8,100
AO,future,9,100
AO,pressures,1,0.73
AO,pressures,2,0.73
AO,pressures,3,0.73
AO,pressures,4,0.73
AO,pressures,5,0.73
AO,pressures,6,0.73
AO,pressures,7,0.73
AO,pressures,8,0.73
AO,pressures,9,0.73
AO,resilience,1,90.22
AO,resilience,2,90.22
AO,resilience,3,90.22
AO,resilience,4,90.22
AO,resilience,5,90.22
AO,resilience,6,90.22
AO,resilience,7,90.22
AO,resilience,8,90.22
AO,resilience,9,90.22
AO,score,0,95.85
AO,score,1,95.85
AO,score,2,95.85
AO,score,3,95.85
AO,score,4,95.85
AO,score,5,95.85
AO,score,6,95.85
AO,score,7,95.85
AO,score,8,95.85
AO,score,9,95.85
AO,status,0,91.71
AO,status,1,91.71
AO,status,2,91.71
AO,status,3,91.71
AO,status,4,91.71
AO,status,5,91.71
AO,status,6,91.71
AO,status,7,91.71
AO,status,8,91.71
AO,status,9,91.71
AO,trend,1,0.02
AO,trend,2,0.02
AO,trend,3,0.02
AO,trend,4,0.02
AO,trend,5,0.02
AO,trend,6,0.02
AO,trend,7,0.02
AO,trend,8,0.02
AO,trend,9,0.02
BD,future,0,88.22
BD,future,1,88.22
BD,future,2,88.22
BD,future,3,88.22
BD,future,4,88.22
BD,future,5,88.22
BD,future,6,88.22
BD,future,7,88.22
BD,future,8,88.22
BD,future,9,88.22
BD,pressures,1,
BD,pressures,2,
BD,pressures,3,
BD,pressures,4,
BD,pressures,5,
BD,pressures,6,
BD,pressures,7,
BD,pressures,8,
BD,pressures,9,
BD,resilience,1,
BD,resilience,2,
BD,resilience,3,
BD,resilience,4,
BD,resilience,5,
BD,resilience,6,
BD,resilience,7,
BD,resilience,8,
BD,resilience,9,
BD,score,0,84.72
BD,score,1,84.72
BD,score,2,84.72
BD,score,3,84.72
BD,score,4,84.72
BD,score,5,84.72
BD,score,6,84.72
BD,score,7,84.72
BD,score,8,84.72
BD,score,9,84.72
BD,status,0,81.21
BD,status,1,81.21
BD,status,2,81.21
BD,status,3,81.21
BD,status,4,81.21
BD,status,5,81.21
BD,status,6,81.21
BD,status,7,81.21
BD,status,8,81.21
