rgn_id,year,a_prot_1km
1,2000,5782.75
1,2001,5992.5
1,2002,6066.75
1,2003,6081.75
1,2004,6102.75
1,2005,6133.25
1,2006,6206.75
1,2007,6254.25
1,2008,6286.25
1,2009,6288.5
1,2010,6544
1,2011,6544.5
1,2012,6547.75
1,2013,6587.25
1,2014,6638.5
1,2015,6638.5
2,2000,5782.75
2,2001,5992.5
2,2002,6066.75
2,2003,6081.75
2,2004,6102.75
2,2005,6133.25
2,2006,6206.75
2,2007,6254.25
2,2008,6286.25
2,2009,6288.5
2,2010,6544
2,2011,6544.5
2,2012,6547.75
2,2013,6587.25
2,2014,6638.5
2,2015,6638.5
3,2000,5782.75
3,2001,5992.5
3,2002,6066.75
3,2003,6081.75
3,2004,6102.75
3,2005,6133.25
3,2006,6206.75
3,2007,6254.25
3,2008,6286.25
3,2009,6288.5
3,2010,6544
3,2011,6544.5
3,2012,6547.75
3,2013,6587.25
3,2014,6638.5
3,2015,6638.5
4,2000,5782.75
4,2001,5992.5
4,2002,6066.75
4,2003,6081.75
4,2004,6102.75
4,2005,6133.25
4,2006,6206.75
4,2007,6254.25
4,2008,6286.25
4,2009,6288.5
4,2010,6544
4,2011,6544.5
4,2012,6547.75
4,2013,6587.25
4,2014,6638.5
4,2015,6638.5
5,2000,5782.75
5,2001,5992.5
5,2002,6066.75
5,2003,6081.75
5,2004,6102.75
5,2005,6133.25
5,2006,6206.75
5,2007,6254.25
5,2008,6286.25
5,2009,6288.5
5,2010,6544
5,2011,6544.5
5,2012,6547.75
5,2013,6587.25
5,2014,6638.5
5,2015,6638.5
6,2000,5782.75
6,2001,5992.5
6,2002,6066.75
6,2003,6081.75
6,2004,6102.75
6,2005,6133.25
6,2006,6206.75
6,2007,6254.25
6,2008,6286.25
6,2009,6288.5
6,2010,6544
6,2011,6544.5
6,2012,6547.75
6,2013,6587.25
6,2014,6638.5
6,2015,6638.5
7,2000,5782.75
7,2001,5992.5
7,2002,6066.75
7,2003,6081.75
7,2004,6102.75
7,2005,6133.25
7,2006,6206.75
7,2007,6254.25
7,2008,6286.25
7,2009,6288.5
7,2010,6544
7,2011,6544.5
7,2012,6547.75
7,2013,6587.25
7,2014,6638.5
7,2015,6638.5
8,2000,5782.75
8,2001,5992.5
8,2002,6066.75
8,2003,6081.75
8,2004,6102.75
8,2005,6133.25
8,2006,6206.75
8,2007,6254.25
8,2008,6286.25
8,2009,6288.5
8,2010,6544
8,2011,6544.5
8,2012,6547.75
8,2013,6587.25
8,2014,6638.5
8,2015,6638.5
9,2000,5782.75
9,2001,5992.5
9,2002,6066.75
9,2003,6081.75
9,2004,6102.75
9,2005,6133.25
9,2006,6206.75
9,2007,6254.25
9,2008,6286.25
9,2009,6288.5
9,2010,6544
9,2011,6544.5
9,2012,6547.75
9,2013,6587.25
9,2014,6638.5
9,2015,6638.5
