rgn_id,count,year
1,524e5,1960
1,528e5,1961
1,5325e4,1962
1,5365e4,1963
1,54e6,1964
1,54348050,1965
1,54648500,1966
1,54943600,1967
1,55211700,1968
1,55441750,1969
1,55663250,1970
1,55896223,1971
1,56086065,1972
1,56194527,1973
1,56229974,1974
1,56225800,1975
1,56211968,1976
1,56193492,1977
1,56196504,1978
1,56246951,1979
1,56314216,1980
1,56333829,1981
1,56313641,1982
1,56332848,1983
1,56422072,1984
1,56550268,1985
1,56681396,1986
1,56802050,1987
1,56928327,1988
1,57076711,1989
1,57247586,1990
1,57424897,1991
1,57580402,1992
1,57718614,1993
1,57865745,1994
1,58019030,1995
1,58166950,1996
1,58316954,1997
1,58487141,1998
1,58682466,1999
1,58892514,2000
1,59107960,2001
1,59325809,2002
1,59566259,2003
1,59867866,2004
1,60224307,2005
1,60595632,2006
1,60986649,2007
1,61393521,2008
1,61811027,2009
1,62271177,2010
1,62752472,2011
1,63227526,2012
2,524e5,1960
2,528e5,1961
2,5325e4,1962
2,5365e4,1963
2,54e6,1964
2,54348050,1965
2,54648500,1966
2,54943600,1967
2,55211700,1968
2,55441750,1969
2,55663250,1970
2,55896223,1971
2,56086065,1972
2,56194527,1973
2,56229974,1974
2,56225800,1975
2,56211968,1976
2,56193492,1977
2,56196504,1978
2,56246951,1979
2,56314216,1980
2,56333829,1981
2,56313641,1982
2,56332848,1983
2,56422072,1984
2,56550268,1985
2,56681396,1986
2,56802050,1987
2,56928327,1988
2,57076711,1989
2,57247586,1990
2,57424897,1991
2,57580402,1992
2,57718614,1993
2,57865745,1994
2,58019030,1995
2,58166950,1996
2,58316954,1997
2,58487141,1998
2,58682466,1999
2,58892514,2000
2,59107960,2001
2,59325809,2002
2,59566259,2003
2,59867866,2004
2,60224307,2005
2,60595632,2006
2,60986649,2007
2,61393521,2008
2,61811027,2009
2,62271177,2010
2,62752472,2011
2,63227526,2012
3,524e5,1960
3,528e5,1961
3,5325e4,1962
3,5365e4,1963
3,54e6,1964
3,54348050,1965
3,54648500,1966
3,54943600,1967
3,55211700,1968
3,55441750,1969
3,55663250,1970
3,55896223,1971
3,56086065,1972
3,56194527,1973
3,56229974,1974
3,56225800,1975
3,56211968,1976
3,56193492,1977
3,56196504,1978
3,56246951,1979
3,56314216,1980
3,56333829,1981
3,56313641,1982
3,56332848,1983
3,56422072,1984
3,56550268,1985
3,56681396,1986
3,56802050,1987
3,56928327,1988
3,57076711,1989
3,57247586,1990
3,57424897,1991
3,57580402,1992
3,57718614,1993
3,57865745,1994
3,58019030,1995
3,58166950,1996
3,58316954,1997
3,58487141,1998
3,58682466,1999
3,58892514,2000
3,59107960,2001
3,59325809,2002
3,59566259,2003
3,59867866,2004
3,60224307,2005
3,60595632,2006
3,60986649,2007
3,61393521,2008
3,61811027,2009
3,62271177,2010
3,62752472,2011
3,63227526,2012
4,524e5,1960
4,528e5,1961
4,5325e4,1962
4,5365e4,1963
4,54e6,1964
4,54348050,1965
4,54648500,1966
4,54943600,1967
4,55211700,1968
4,55441750,1969
4,55663250,1970
4,55896223,1971
4,56086065,1972
4,56194527,1973
4,56229974,1974
4,56225800,1975
4,56211968,1976
4,56193492,1977
4,56196504,1978
4,56246951,1979
4,56314216,1980
4,56333829,1981
4,56313641,1982
4,56332848,1983
4,56422072,1984
4,56550268,1985
4,56681396,1986
4,56802050,1987
4,56928327,1988
4,57076711,1989
4,57247586,1990
4,57424897,1991
4,57580402,1992
4,57718614,1993
4,57865745,1994
4,58019030,1995
4,58166950,1996
4,58316954,1997
4,58487141,1998
4,58682466,1999
4,58892514,2000
4,59107960,2001
4,59325809,2002
4,59566259,2003
4,59867866,2004
4,60224307,2005
4,60595632,2006
4,60986649,2007
4,61393521,2008
4,61811027,2009
4,62271177,2010
4,62752472,2011
4,63227526,2012
5,524e5,1960
5,528e5,1961
5,5325e4,1962
5,5365e4,1963
5,54e6,1964
5,54348050,1965
5,54648500,1966
5,54943600,1967
5,55211700,1968
5,55441750,1969
5,55663250,1970
5,55896223,1971
5,56086065,1972
5,56194527,1973
5,56229974,1974
5,56225800,1975
5,56211968,1976
5,56193492,1977
5,56196504,1978
5,56246951,1979
5,56314216,1980
5,56333829,1981
5,56313641,1982
5,56332848,1983
5,56422072,1984
5,56550268,1985
5,56681396,1986
5,56802050,1987
5,56928327,1988
5,57076711,1989
5,57247586,1990
5,57424897,1991
5,57580402,1992
5,57718614,1993
5,57865745,1994
5,58019030,1995
5,58166950,1996
5,58316954,1997
5,58487141,1998
5,58682466,1999
5,58892514,2000
5,59107960,2001
5,59325809,2002
5,59566259,2003
5,59867866,2004
5,60224307,2005
5,60595632,2006
5,60986649,2007
5,61393521,2008
5,61811027,2009
5,62271177,2010
5,62752472,2011
5,63227526,2012
6,524e5,1960
6,528e5,1961
6,5325e4,1962
6,5365e4,1963
