rgn_id,sector,year,value,analysis_year
1,cf,2001,31451.6073718,2012
1,cf,2002,29673.4219698,2012
1,cf,2003,26633.2379908,2012
1,cf,2004,28499.76955,2012
1,cf,2005,26771.8889004,2012
1,cf,2006,26890.2677456,2012
1,mar,2005,11149.03217655,2012
1,mar,2006,10909.63577907,2012
1,mar,2007,17187.97727754,2012
1,mmw,1998,513.4115,2012
1,mmw,2008,1125.838075,2012
1,tour,2005,1789993.83154,2012
1,tour,2006,1917973.12954,2012
1,tour,2007,1777680.95447,2012
1,tour,2008,1810440.66982,2012
1,tour,2009,1830066.6496300001,2012
1,tour,2010,1762457.76101,2012
1,cf,2001,19880.9149,2013
1,cf,2002,18756.9039,2013
1,cf,2003,16835.1694,2013
1,cf,2004,18015.025,2013
1,cf,2005,16922.8122,2013
1,cf,2006,16997.6408,2013
1,mar,2005,4129.2711765,2013
1,mar,2006,4040.6058441,2013
1,mar,2007,6365.9175102,2013
1,mmw,1998,268.1,2013
1,mmw,2008,587.905,2013
1,tour,2005,1789993.83154,2013
1,tour,2006,1917973.12954,2013
1,tour,2007,1777680.95447,2013
1,tour,2008,1810440.66982,2013
1,tour,2009,1830066.6496300001,2013
1,tour,2010,1762457.76101,2013
2,cf,2001,31451.6073718,2012
2,cf,2002,29673.4219698,2012
2,cf,2003,26633.2379908,2012
2,cf,2004,28499.76955,2012
2,cf,2005,26771.8889004,2012
2,cf,2006,26890.2677456,2012
2,mar,2005,11149.03217655,2012
2,mar,2006,10909.63577907,2012
2,mar,2007,17187.97727754,2012
2,mmw,1998,513.4115,2012
2,mmw,2008,1125.838075,2012
2,tour,2005,1789993.83154,2012
2,tour,2006,1917973.12954,2012
2,tour,2007,1777680.95447,2012
2,tour,2008,1810440.66982,2012
2,tour,2009,1830066.6496300001,2012
2,tour,2010,1762457.76101,2012
2,cf,2001,19880.9149,2013
2,cf,2002,18756.9039,2013
2,cf,2003,16835.1694,2013
2,cf,2004,18015.025,2013
2,cf,2005,16922.8122,2013
2,cf,2006,16997.6408,2013
2,mar,2005,4129.2711765,2013
2,mar,2006,4040.6058441,2013
2,mar,2007,6365.9175102,2013
2,mmw,1998,268.1,2013
2,mmw,2008,587.905,2013
2,tour,2005,1789993.83154,2013
2,tour,2006,1917973.12954,2013
2,tour,2007,1777680.95447,2013
2,tour,2008,1810440.66982,2013
2,tour,2009,1830066.6496300001,2013
2,tour,2010,1762457.76101,2013
3,cf,2001,31451.6073718,2012
3,cf,2002,29673.4219698,2012
3,cf,2003,26633.2379908,2012
3,cf,2004,28499.76955,2012
3,cf,2005,26771.8889004,2012
3,cf,2006,26890.2677456,2012
3,mar,2005,11149.03217655,2012
3,mar,2006,10909.63577907,2012
3,mar,2007,17187.97727754,2012
3,mmw,1998,513.4115,2012
3,mmw,2008,1125.838075,2012
3,tour,2005,1789993.83154,2012
3,tour,2006,1917973.12954,2012
3,tour,2007,1777680.95447,2012
3,tour,2008,1810440.66982,2012
3,tour,2009,1830066.6496300001,2012
3,tour,2010,1762457.76101,2012
3,cf,2001,19880.9149,2013
3,cf,2002,18756.9039,2013
3,cf,2003,16835.1694,2013
3,cf,2004,18015.025,2013
3,cf,2005,16922.8122,2013
3,cf,2006,16997.6408,2013
3,mar,2005,4129.2711765,2013
3,mar,2006,4040.6058441,2013
3,mar,2007,6365.9175102,2013
3,mmw,1998,268.1,2013
3,mmw,2008,587.905,2013
3,tour,2005,1789993.83154,2013
3,tour,2006,1917973.12954,2013
3,tour,2007,1777680.95447,2013
3,tour,2008,1810440.66982,2013
3,tour,2009,1830066.6496300001,2013
3,tour,2010,1762457.76101,2013
4,cf,2001,31451.6073718,2012
4,cf,2002,29673.4219698,2012
4,cf,2003,26633.2379908,2012
4,cf,2004,28499.76955,2012
4,cf,2005,26771.8889004,2012
4,cf,2006,26890.2677456,2012
4,mar,2005,11149.03217655,2012
4,mar,2006,10909.63577907,2012
4,mar,2007,17187.97727754,2012
4,mmw,1998,513.4115,2012
4,mmw,2008,1125.838075,2012
4,tour,2005,1789993.83154,2012
4,tour,2006,1917973.12954,2012
4,tour,2007,1777680.95447,2012
4,tour,2008,1810440.66982,2012
4,tour,2009,1830066.6496300001,2012
4,tour,2010,1762457.76101,2012
4,cf,2001,19880.9149,2013
4,cf,2002,18756.9039,2013
4,cf,2003,16835.1694,2013
4,cf,2004,18015.025,2013
4,cf,2005,16922.8122,2013
4,cf,2006,16997.6408,2013
4,mar,2005,4129.2711765,2013
4,mar,2006,4040.6058441,2013
4,mar,2007,6365.9175102,2013
4,mmw,1998,268.1,2013
4,mmw,2008,587.905,2013
4,tour,2005,1789993.83154,2013
4,tour,2006,1917973.12954,2013
4,tour,2007,1777680.95447,2013
4,tour,2008,1810440.66982,2013
4,tour,2009,1830066.6496300001,2013
4,tour,2010,1762457.76101,2013
5,cf,2001,31451.6073718,2012
5,cf,2002,29673.4219698,2012
5,cf,2003,26633.2379908,2012
5,cf,2004,28499.76955,2012
5,cf,2005,26771.8889004,2012
5,cf,2006,26890.2677456,2012
5,mar,2005,11149.03217655,2012
5,mar,2006,10909.63577907,2012
5,mar,2007,17187.97727754,2012
5,mmw,1998,513.4115,2012
5,mmw,2008,1125.838075,2012
5,tour,2005,1789993.83154,2012
5,tour,2006,1917973.12954,2012
5,tour,2007,1777680.95447,2012
5,tour,2008,1810440.66982,2012
5,tour,2009,1830066.6496300001,2012
5,tour,2010,1762457.76101,2012
5,cf,2001,19880.9149,2013
5,cf,2002,18756.9039,2013
5,cf,2003,16835.1694,2013
5,cf,2004,18015.025,2013
5,cf,2005,16922.8122,2013
5,cf,2006,16997.6408,2013
5,mar,2005,4129.2711765,2013
5,mar,2006,4040.6058441,2013
5,mar,2007,6365.9175102,2013
5,mmw,1998,268.1,2013
5,mmw,2008,587.905,2013
5,tour,2005,1789993.83154,2013
5,tour,2006,1917973.12954,2013
5,tour,2007,1777680.95447,2013
5,tour,2008,1810440.66982,2013
5,tour,2009,1830066.6496300001,2013
5,tour,2010,1762457.76101,2013
6,cf,2001,31451.6073718,2012
6,cf,2002,29673.4219698,2012
6,cf,2003,26633.2379908,2012
6,cf,2004,28499.76955,2012
6,cf,2005,26771.8889004,2012
6,cf,2006,26890.2677456,2012
6,mar,2005,11149.03217655,2012
6,mar,2006,10909.63577907,2012
6,mar,2007,17187.97727754,2012
6,mmw,1998,513.4115,2012
6,mmw,2008,1125.838075,2012
6,tour,2005,1789993.83154,2012
6,tour,2006,1917973.12954,2012
6,tour,2007,1777680.95447,2012
6,tour,2008,1810440.66982,2012
6,tour,2009,1830066.6496300001,2012
6,tour,2010,1762457.76101,2012
6,cf,2001,19880.9149,2013
6,cf,2002,18756.9039,2013
6,cf,2003,16835.1694,2013
6,cf,2004,18015.025,2013
6,cf,2005,16922.8122,2013
6,cf,2006,16997.6408,2013
6,mar,2005,4129.2711765,2013
6,mar,2006,4040.6058441,2013
6,mar,2007,6365.9175102,2013
6,mmw,1998,268.1,2013
6,mmw,2008,587.905,2013
6,tour,2005,1789993.83154,2013
6,tour,2006,1917973.12954,2013
6,tour,2007,1777680.95447,2013
6,tour,2008,1810440.66982,2013
6,tour,2009,1830066.6496300001,2013
6,tour,2010,1762457.76101,2013
7,cf,2001,31451.6073718,2012
7,cf,2002,29673.4219698,2012
7,cf,2003,26633.2379908,2012
7,cf,2004,28499.76955,2012
7,cf,2005,26771.8889004,2012
7,cf,2006,26890.2677456,2012
7,mar,2005,11149.03217655,2012
7,mar,2006,10909.63577907,2012
7,mar,2007,17187.97727754,2012
7,mmw,1998,513.4115,2012
7,mmw,2008,1125.838075,2012
7,tour,2005,1789993.83154,2012
7,tour,2006,1917973.12954,2012
7,tour,2007,1777680.95447,2012
7,tour,2008,1810440.66982,2012
7,tour,2009,1830066.6496300001,2012
7,tour,2010,1762457.76101,2012
7,cf,2001,19880.9149,2013
7,cf,2002,18756.9039,2013
7,cf,2003,16835.1694,2013
7,cf,2004,18015.025,2013
7,cf,2005,16922.8122,2013
7,cf,2006,16997.6408,2013
7,mar,2005,4129.2711765,2013
7,mar,2006,4040.6058441,2013
7,mar,2007,6365.9175102,2013
7,mmw,1998,268.1,2013
7,mmw,2008,587.905,2013
7,tour,2005,1789993.83154,2013
7,tour,2006,1917973.12954,2013
7,tour,2007,1777680.95447,2013
7,tour,2008,1810440.66982,2013
7,tour,2009,1830066.6496300001,2013
7,tour,2010,1762457.76101,2013
8,cf,2001,31451.6073718,2012
8,cf,2002,29673.4219698,2012
8,cf,2003,26633.2379908,2012
8,cf,2004,28499.76955,2012
8,cf,2005,26771.8889004,2012
8,cf,2006,26890.2677456,2012
8,mar,2005,11149.03217655,2012
8,mar,2006,10909.63577907,2012
8,mar,2007,17187.97727754,2012
8,mmw,1998,513.4115,2012
8,mmw,2008,1125.838075,2012
8,tour,2005,1789993.83154,2012
8,tour,2006,1917973.12954,2012
8,tour,2007,1777680.95447,2012
8,tour,2008,1810440.66982,2012
8,tour,2009,1830066.6496300001,2012
8,tour,2010,1762457.76101,2012
8,cf,2001,19880.9149,2013
8,cf,2002,18756.9039,2013
8,cf,2003,16835.1694,2013
8,cf,2004,18015.025,2013
8,cf,2005,16922.8122,2013
8,cf,2006,16997.6408,2013
8,mar,2005,4129.2711765,2013
8,mar,2006,4040.6058441,2013
8,mar,2007,6365.9175102,2013
8,mmw,1998,268.1,2013
8,mmw,2008,587.905,2013
8,tour,2005,1789993.83154,2013
8,tour,2006,1917973.12954,2013
8,tour,2007,1777680.95447,2013
8,tour,2008,1810440.66982,2013
8,tour,2009,1830066.6496300001,2013
8,tour,2010,1762457.76101,2013
9,cf,2001,31451.6073718,2012
9,cf,2002,29673.4219698,2012
9,cf,2003,26633.2379908,2012
9,cf,2004,28499.76955,2012
9,cf,2005,26771.8889004,2012
9,cf,2006,26890.2677456,2012
9,mar,2005,11149.03217655,2012
9,mar,2006,10909.63577907,2012
9,mar,2007,17187.97727754,2012
9,mmw,1998,513.4115,2012
9,mmw,2008,1125.838075,2012
9,tour,2005,1789993.83154,2012
9,tour,2006,1917973.12954,2012
9,tour,2007,1777680.95447,2012
9,tour,2008,1810440.66982,2012
9,tour,2009,1830066.6496300001,2012
9,tour,2010,1762457.76101,2012
9,cf,2001,19880.9149,2013
9,cf,2002,18756.9039,2013
9,cf,2003,16835.1694,2013
9,cf,2004,18015.025,2013
9,cf,2005,16922.8122,2013
9,cf,2006,16997.6408,2013
9,mar,2005,4129.2711765,2013
9,mar,2006,4040.6058441,2013
9,mar,2007,6365.9175102,2013
9,mmw,1998,268.1,2013
9,mmw,2008,587.905,2013
9,tour,2005,1789993.83154,2013
9,tour,2006,1917973.12954,2013
9,tour,2007,1777680.95447,2013
9,tour,2008,1810440.66982,2013
9,tour,2009,1830066.6496300001,2013
9,tour,2010,1762457.76101,2013
