rgn_id,year,pressure_score
1,2012,0
1,2013,0.0317357861330752
1,2014,0
1,2015,0.015741620301262
1,2016,0.0039676916536772
2,2012,0
2,2013,0.0317357861330752
2,2014,0
2,2015,0.015741620301262
2,2016,0.0039676916536772
3,2012,0
3,2013,0.0317357861330752
3,2014,0
3,2015,0.015741620301262
3,2016,0.0039676916536772
4,2012,0
4,2013,0.0317357861330752
4,2014,0
4,2015,0.015741620301262
4,2016,0.0039676916536772
5,2012,0
5,2013,0.0317357861330752
5,2014,0
5,2015,0.015741620301262
5,2016,0.0039676916536772
6,2012,0
6,2013,0.0317357861330752
6,2014,0
6,2015,0.015741620301262
6,2016,0.0039676916536772
7,2012,0
7,2013,0.0317357861330752
7,2014,0
7,2015,0.015741620301262
7,2016,0.0039676916536772
8,2012,0
8,2013,0.0317357861330752
8,2014,0
8,2015,0.015741620301262
8,2016,0.0039676916536772
9,2012,0
9,2013,0.0317357861330752
9,2014,0
9,2015,0.015741620301262
9,2016,0.0039676916536772
