rgn_id,year,a_prot_3nm
1,2000,11764.25
1,2001,12377.75
1,2002,12586.25
1,2003,12625
1,2004,12646.25
1,2005,12669
1,2006,12804.5
1,2007,14527.75
1,2008,15079.5
1,2009,15776.5
1,2010,16470.5
1,2011,16470.5
1,2012,16824
1,2013,17680.25
1,2014,20287.5
1,2015,20287.5
2,2000,11764.25
2,2001,12377.75
2,2002,12586.25
2,2003,12625
2,2004,12646.25
2,2005,12669
2,2006,12804.5
2,2007,14527.75
2,2008,15079.5
2,2009,15776.5
2,2010,16470.5
2,2011,16470.5
2,2012,16824
2,2013,17680.25
2,2014,20287.5
2,2015,20287.5
3,2000,11764.25
3,2001,12377.75
3,2002,12586.25
3,2003,12625
3,2004,12646.25
3,2005,12669
3,2006,12804.5
3,2007,14527.75
3,2008,15079.5
3,2009,15776.5
3,2010,16470.5
3,2011,16470.5
3,2012,16824
3,2013,17680.25
3,2014,20287.5
3,2015,20287.5
4,2000,11764.25
4,2001,12377.75
4,2002,12586.25
4,2003,12625
4,2004,12646.25
4,2005,12669
4,2006,12804.5
4,2007,14527.75
4,2008,15079.5
4,2009,15776.5
4,2010,16470.5
4,2011,16470.5
4,2012,16824
4,2013,17680.25
4,2014,20287.5
4,2015,20287.5
5,2000,11764.25
5,2001,12377.75
5,2002,12586.25
5,2003,12625
5,2004,12646.25
5,2005,12669
5,2006,12804.5
5,2007,14527.75
5,2008,15079.5
5,2009,15776.5
5,2010,16470.5
5,2011,16470.5
5,2012,16824
5,2013,17680.25
5,2014,20287.5
5,2015,20287.5
6,2000,11764.25
6,2001,12377.75
6,2002,12586.25
6,2003,12625
6,2004,12646.25
6,2005,12669
6,2006,12804.5
6,2007,14527.75
6,2008,15079.5
6,2009,15776.5
6,2010,16470.5
6,2011,16470.5
6,2012,16824
6,2013,17680.25
6,2014,20287.5
6,2015,20287.5
7,2000,11764.25
7,2001,12377.75
7,2002,12586.25
7,2003,12625
7,2004,12646.25
7,2005,12669
7,2006,12804.5
7,2007,14527.75
7,2008,15079.5
7,2009,15776.5
7,2010,16470.5
7,2011,16470.5
7,2012,16824
7,2013,17680.25
7,2014,20287.5
7,2015,20287.5
8,2000,11764.25
8,2001,12377.75
8,2002,12586.25
8,2003,12625
8,2004,12646.25
8,2005,12669
8,2006,12804.5
8,2007,14527.75
8,2008,15079.5
8,2009,15776.5
8,2010,16470.5
8,2011,16470.5
8,2012,16824
8,2013,17680.25
8,2014,20287.5
8,2015,20287.5
9,2000,11764.25
9,2001,12377.75
9,2002,12586.25
9,2003,12625
9,2004,12646.25
9,2005,12669
9,2006,12804.5
9,2007,14527.75
9,2008,15079.5
9,2009,15776.5
9,2010,16470.5
9,2011,16470.5
9,2012,16824
9,2013,17680.25
9,2014,20287.5
9,2015,20287.5
