rgn_id,year,usd
1,1998,146194e7
1,2002,160162e7
1,2004,219686e7
1,2005,229584e7
1,2006,245297e7
1,2007,282553e7
1,2008,264894e7
1,2009,218386e7
1,2010,225626e7
1,2011,244541e7
2,1998,146194e7
2,2002,160162e7
2,2004,219686e7
2,2005,229584e7
2,2006,245297e7
2,2007,282553e7
2,2008,264894e7
2,2009,218386e7
2,2010,225626e7
2,2011,244541e7
3,1998,146194e7
3,2002,160162e7
3,2004,219686e7
3,2005,229584e7
3,2006,245297e7
3,2007,282553e7
3,2008,264894e7
3,2009,218386e7
3,2010,225626e7
3,2011,244541e7
4,1998,146194e7
4,2002,160162e7
4,2004,219686e7
4,2005,229584e7
4,2006,245297e7
4,2007,282553e7
4,2008,264894e7
4,2009,218386e7
4,2010,225626e7
4,2011,244541e7
5,1998,146194e7
5,2002,160162e7
5,2004,219686e7
5,2005,229584e7
5,2006,245297e7
5,2007,282553e7
5,2008,264894e7
5,2009,218386e7
5,2010,225626e7
5,2011,244541e7
6,1998,146194e7
6,2002,160162e7
6,2004,219686e7
6,2005,229584e7
6,2006,245297e7
6,2007,282553e7
6,2008,264894e7
6,2009,218386e7
6,2010,225626e7
6,2011,244541e7
7,1998,146194e7
7,2002,160162e7
7,2004,219686e7
7,2005,229584e7
7,2006,245297e7
7,2007,282553e7
7,2008,264894e7
7,2009,218386e7
7,2010,225626e7
7,2011,244541e7
8,1998,146194e7
8,2002,160162e7
8,2004,219686e7
8,2005,229584e7
8,2006,245297e7
8,2007,282553e7
8,2008,264894e7
8,2009,218386e7
8,2010,225626e7
8,2011,244541e7
9,1998,146194e7
9,2002,160162e7
9,2004,219686e7
9,2005,229584e7
9,2006,245297e7
9,2007,282553e7
9,2008,264894e7
9,2009,218386e7
9,2010,225626e7
9,2011,244541e7
